fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220925 205516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	762101	0.202828416591394	0.712604912025854	5687	600	0.380249924695224	20680000	1
20220925 205526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	165	TRUE	762101	0.102761718171067	0.971972870538011	2641	298	0.5218344887538	20538000	2
20220925 205541	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	399	TRUE	762101	0.15515661708347	0.667135014412925	3494	770	0.552977796389759	17724000	3
20220925 205620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	521	TRUE	762101	0.143730547173182	0.306462799925357	3707	233	0.71649957339669	8154000	4
20220925 205624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	762101	0.230885914529441	0.625609709033742	5475	471	0.394343404551939	20792000	5
20220925 205839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1655	TRUE	762101	0.0659313225994119	0.462700406387448	1820	432	0.755154258633337	11912000	6
20220925 205855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	762101	0.0447591780116782	0.425579199353233	4741	989	0.199346260370791	19294000	7
20220925 205903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	762101	0.28513642925513	0.550504803424701	686	554	0.328225305182764	25480000	8
20220925 205918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	570	TRUE	762101	0.132672773521161	0.801244117151946	4997	408	0.631463520348842	10256000	9
20220925 205924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	762101	0.269733726171195	0.874992370568216	2956	773	0.279827580774174	24538000	10
20220925 205932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	762101	0.218225389012252	0.793283153129742	2167	158	0.439734574269541	23914000	11
20220925 205955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	762101	0.0917336688338546	0.492405310207978	1454	832	0.472214866383239	23246000	12
20220925 210024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	905	TRUE	762101	0.0255204119755654	0.889273902224377	4370	335	0.229039920439316	21716000	13
20220925 210030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	762101	0.290184443912935	0.581420269813389	6388	714	0.57074656939058	10902000	14
20220925 210039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	762101	0.070207733506686	0.236930085550994	6550	209	0.81072668918665	0	15
20220925 210111	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	443	TRUE	762101	0.196895339744748	0.343947207769379	6823	928	0.142076804040104	11074000	16
20220925 210202	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	762101	0.254423983156681	0.275983929941431	849	59	0.281522434632465	26584000	17
20220925 210205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	762101	0.0244763793437742	0.750828796653077	7300	909	0.669828122402114	0	18
20220925 210245	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	375	TRUE	762101	0.181351557976683	0.948381478227675	370	660	0.68073656907595	19424000	19
20220925 210253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	762101	0.111656149957096	0.397131821811199	7812	86	0.123251323259141	0	20
20220925 210555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	280	TRUE	762101	0.0462080573013823	0.956300164742126	0	501	0.297681839544591	22582000	21
20220925 210610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	762101	0.190811836966241	0.209333601944788	1486	415	0.308423209778161	25542000	22
20220925 210620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	762101	0.254173433090142	0.204714574199571	6	19	0.378304851487793	21770000	23
20220925 210634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	226	TRUE	762101	0.233323088158286	0.579568000172798	1370	181	0.257284445008799	26002000	24
20220925 210645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	762101	0.299893443584288	0.336267897671173	1747	57	0.285483494870322	25130000	25
20220925 210655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	762101	0.24064822476547	0.276832736153812	765	672	0.239052177892325	25616000	26
