fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220920 010347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	444	TRUE	999983	0.0308496483310428	0.492447206029855	3112	20	0.0197004085893738	25598000	35
20220920 010420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	999983	0.0337919287992548	0.525195004129154	3172	16	0.0238633905176255	25358000	36
20220920 010459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	226	TRUE	999983	0.0350077179356338	0.504332378124795	3147	18	0.0207546490152199	25568000	37
20220920 010558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	999983	0.0383265871271002	0.526602615680173	3135	18	0.0210734685372603	25424000	38
20220920 010640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	259	TRUE	999983	0.0339457665318483	0.547280544405594	2969	15	0.0196760487964721	25434000	39
20220920 010722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	999983	0.0352388712088345	0.459932111965818	2917	17	0.0220054046921874	25512000	40
20220920 010753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	999983	0.038837357598485	0.45436461583355	3076	19	0.0221634820757904	25318000	41
20220920 010832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	280	TRUE	999983	0.037837141669842	0.524575387982279	2988	11	0.0231419252570518	25834000	42
20220920 010942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	647	TRUE	999983	0.0374867507672776	0.549376542703621	2929	12	0.0235431842387919	25904000	43
20220920 011033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	999983	0.035819750549444	0.454164212669153	2964	13	0.0238467574645141	25672000	44
20220920 011144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	529	TRUE	999983	0.0305787962456001	0.524478402135475	3137	19	0.0230891043949863	25524000	45
20220920 011217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	999983	0.0314655717702745	0.526790615592408	3071	12	0.0205393731592181	24966000	46
20220920 011304	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	328	TRUE	999983	0.0302025264959014	0.47689258276897	3100	12	0.0213781517377938	25626000	47
20220920 011358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	383	TRUE	999983	0.0336934330646344	0.514948504274827	2955	16	0.0240766256475877	25890000	48
20220920 011453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	424	TRUE	999983	0.0344886584013491	0.464083923308644	3197	14	0.0229916116040153	26054000	49
20220920 011538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	312	TRUE	999983	0.039924213074029	0.465662507213559	3135	18	0.0202258556198427	25342000	50
20220920 011645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	592	TRUE	999983	0.0383493826759723	0.516604663206637	3125	11	0.0231101192239658	25824000	51
20220920 011803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	314	TRUE	999983	0.0305543575418694	0.543374177799933	3106	16	0.022413897157711	25504000	52
20220920 011924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	433	TRUE	999983	0.0395940151807084	0.524033109265543	3082	15	0.0234062473772103	25984000	53
20220920 012006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	233	TRUE	999983	0.0350341084877704	0.501375870278291	2974	20	0.019202232766449	25118000	54
20220920 012108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	514	TRUE	999983	0.0369096257985337	0.54126194620356	3024	14	0.021702884304279	25732000	55
20220920 012157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	358	TRUE	999983	0.0344743881689012	0.468863036506041	2910	16	0.0233019037983213	25902000	56
20220920 012322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	680	TRUE	999983	0.036805678195667	0.526907638120907	2939	19	0.0224227723633014	25766000	57
20220920 012359	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	194	TRUE	999983	0.0336819297381281	0.523528688949766	2972	14	0.0213570829021852	25304000	58
20220920 012438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	234	TRUE	999983	0.0389003914900823	0.470072112716315	2962	20	0.0212531612596614	25852000	59
20220920 012501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	999983	0.0386206588755501	0.548181991559779	3063	15	0.0193287433410324	24930000	60
20220920 012556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	400	TRUE	999983	0.0362186138487491	0.51906435482658	3158	14	0.0200991333019608	25720000	61
20220920 012637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	278	TRUE	999983	0.0340558973819646	0.48757744830416	2900	10	0.0206443201821283	25476000	62
20220920 012730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	366	TRUE	999983	0.0396208627286064	0.512931405192846	2956	19	0.0236980756642334	26052000	63
20220920 012826	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	403	TRUE	999983	0.03874037155892	0.474588166401489	3174	20	0.024883465467053	25616000	64
20220920 012938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	589	TRUE	999983	0.0320566278114007	0.475963280959334	3051	16	0.0193790935847568	25406000	65
20220920 013047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	582	TRUE	999983	0.0306455165854935	0.464810819123895	3133	14	0.0241890247699777	25644000	66
20220920 013143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	999983	0.0349434291317407	0.507261509902845	2909	16	0.0215210880025784	25754000	67
20220920 013227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	309	TRUE	999983	0.0397622296406515	0.535924444591301	3154	17	0.0203967818315448	25156000	68
20220920 013335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	577	TRUE	999983	0.0316308370113838	0.53909447590576	3036	10	0.0194724254759192	25564000	69
20220920 013417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	318	TRUE	999983	0.0381732743877545	0.458923289911705	3030	10	0.021239951936313	26018000	70
20220920 013530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	634	TRUE	999983	0.0315358036734001	0.461160189385992	3033	13	0.0235557498432058	25910000	71
20220920 013615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	299	TRUE	999983	0.0339788807372539	0.498565982271289	3125	14	0.0225651082412899	25290000	72
20220920 013700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	999983	0.0371049310114956	0.466019386745524	2912	13	0.0243977501837369	25966000	73
20220920 013754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	397	TRUE	999983	0.0343345848479704	0.503298643423454	3068	13	0.0232324843321266	25650000	74
20220920 013859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	483	TRUE	999983	0.0318773080485407	0.499217993851984	3177	19	0.0239239009409463	25756000	75
20220920 013959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	459	TRUE	999983	0.034830415845809	0.511147319170763	3078	17	0.0208375902246693	25444000	76
20220920 014036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	999983	0.03899071830014	0.538268470191979	2948	10	0.0225570910418765	25204000	77
20220920 014122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	300	TRUE	999983	0.0313967541897204	0.53408061838483	3178	15	0.0193518809621255	25728000	78
20220920 014203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	261	TRUE	999983	0.039666918466019	0.512407378004305	2926	16	0.0249033913964704	25786000	79
20220920 014302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	478	TRUE	999983	0.0368351927793026	0.455992725885054	3056	12	0.0218920917127673	25542000	80
20220920 014402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	393	TRUE	999983	0.0301790246750228	0.46710559478011	2961	16	0.02454754820927	25796000	81
20220920 014448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	300	TRUE	999983	0.0387116659950023	0.480583103269059	2950	20	0.0217299235318778	25662000	82
20220920 014532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	236	TRUE	999983	0.0311077145242202	0.47530470070194	2996	20	0.0249652471727976	25474000	83
20220920 014632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	461	TRUE	999983	0.0398806951342593	0.515466573350062	3082	14	0.021098730940877	25806000	84
