echa	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220922 022920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	770	TRUE	757577	0.0103097148704236	0.610661936156798	2161	25	0.0426702577357886	27366000	35
20220922 023844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1034	TRUE	757577	0.0100843150119075	0.420626687987878	1194	722	0.0378744219491507	27764000	36
20220922 024520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	693	TRUE	757577	0.0101852108132701	0.691381722761203	969	181	0.0433594412125342	28046000	37
20220922 025412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1328	TRUE	757577	0.0101192114356712	0.285981600672355	1546	213	0.0426199269686573	27482000	38
20220922 030010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1887	TRUE	757577	0.0106188035536336	0.998454895464779	1300	17	0.0417075760882062	27504000	39
20220922 030630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	757577	0.0134032561886365	0.496117174317549	757	686	0.0438772964647318	28358000	40
20220922 031210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1018	TRUE	757577	0.0102720576951555	0.200041565311822	3646	20	0.0310800565290029	26154000	41
20220922 031432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	757577	0.0111908698740187	0.406043606794645	1084	16	0.0151088237621804	21506000	42
20220922 031546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	757577	0.0601847326836524	0.63488215027936	786	556	0.0414224426771312	27140000	43
20220922 032228	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1338	TRUE	757577	0.0103278717839022	0.706976380917562	3565	52	0.056539972435297	26734000	44
20220922 032643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	969	TRUE	757577	0.0129703737105828	0.948149140391951	5946	505	0.0474992498953702	27018000	45
20220922 033123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	811	TRUE	757577	0.0100764765977447	0.952159482857512	3457	1024	0.0317656057898063	26578000	46
20220922 033209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	757577	0.087196589488381	0.79471377062559	6632	1019	0.0460897180976775	27246000	47
20220922 033339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	242	TRUE	757577	0.0469950565815727	0.215353241246599	6571	261	0.0447203467035153	26610000	48
20220922 034007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	829	TRUE	757577	0.0102573022125797	0.432580829171351	1050	17	0.0517144943080562	27624000	49
20220922 034445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1099	TRUE	757577	0.0102943742636158	0.997411615771257	7170	703	0.0510710671959237	26364000	50
20220922 035001	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	708	TRUE	757577	0.0101530226898636	0.760311521640787	1858	724	0.0401945915596022	27330000	51
20220922 035053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	757577	0.116727391709651	0.971253733759421	5386	1001	0.0483490110992303	26682000	52
20220922 035132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	757577	0.12939165944572	0.998169113821657	6366	622	0.0364902482277009	26598000	53
20220922 035826	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1320	TRUE	757577	0.0102013840200779	0.200924908832241	3627	868	0.0564006468834214	26944000	54
20220922 040804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1513	TRUE	757577	0.010365046755693	0.387608255891996	6076	1006	0.0523403841151881	26872000	55
20220922 041523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	697	TRUE	757577	0.0100816906060119	0.869073324064625	806	822	0.0499183721731415	27868000	56
