fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220924 223413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	165	TRUE	102191	0.244031130656018	0.62452575196512	5558	387	0.124503540018916	26052000	1
20220924 223459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	102191	0.118903239563806	0.536150591587648	6382	162	0.0822300584317067	26522000	2
20220924 223542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	102191	0.14707977983309	0.337148493053392	974	954	0.170920818275842	25011000	3
20220924 223606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	102191	0.178075529693044	0.784471182683483	7585	628	0.128614903220427	25666000	4
20220924 223733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	102191	0.057738197069848	0.38298627788201	2217	221	0.178167553624511	24910000	5
20220924 223923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	102191	0.0972970103867119	0.429563217209652	3656	580	0.0463894103002925	23445000	6
20220924 224102	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	309	TRUE	102191	0.044356783546973	0.226412133406848	3504	868	0.199313243809338	23769000	7
20220924 224141	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	102191	0.27591596493416	0.447317100511864	2904	339	0.193612246022346	23822000	8
20220924 224215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	102191	0.0889735305930953	0.594746486963704	4865	483	0.161549569990175	24993000	9
20220924 224427	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205	TRUE	102191	0.030205987595953	0.812321948762983	466	443	0.154655196212712	26252000	10
20220924 224450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	102191	0.21306089129101	0.705400813445449	4179	880	0.141979743744435	25417000	11
20220924 224531	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	102191	0.158145789649105	0.861106545310468	1593	181	0.0648492605938066	26465000	12
20220924 224554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	102191	0.212881393144722	0.973278445135802	5706	523	0.228460674651012	21558000	13
