fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220926 015838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	757577	0.2055852854033	0.827108854372054	6668	132	0.419751463877275	18826000	1
20220926 015844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	757577	0.178594730149955	0.550129106873646	5845	398	0.7772561269349	0	2
20220926 015853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	757577	0.148457186674117	0.923642244404182	3602	332	0.369042175052193	23196000	3
20220926 015909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	757577	0.167195806012838	0.300381048889831	2550	490	0.448639068024337	23150000	4
20220926 015927	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	400	TRUE	757577	0.0539617026711348	0.605250071231276	2841	539	0.298880925904532	25364000	5
20220926 015936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	236	TRUE	757577	0.229347817603266	0.841414568051696	4106	599	0.526690393556812	19308000	6
20220926 015956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	385	TRUE	757577	0.248864639235311	0.662695497786626	1313	928	0.710387035002172	14520000	7
20220926 020013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	465	TRUE	757577	0.131813859649817	0.579065846102312	5202	24	0.215245635202392	20238000	8
20220926 020031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	209	TRUE	757577	0.109701138952398	0.374271511994302	4802	268	0.539993691353165	13880000	9
20220926 020040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	757577	0.257601200490259	0.494968747133389	1759	994	0.262358021185904	25716000	10
20220926 020049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	757577	0.0495929444161011	0.245980884823948	6844	748	0.605802812400911	0	11
20220926 020108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	757577	0.277517345841741	0.895749178361148	240	702	0.162124601038344	25716000	12
20220926 020111	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	757577	0.191444134054706	0.791498073032126	7771	184	0.675175786021935	0	13
20220926 020137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205	TRUE	757577	0.030883958931081	0.759112924737856	564	314	0.479162346109586	23744000	14
20220926 020145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	757577	0.0878177602320211	0.466494289841503	7354	466	0.105341321700823	0	15
20220926 020207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	225	TRUE	757577	0.0758570942620281	0.410502965021878	2383	909	0.209073786910063	22852000	16
20220926 020237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	488	TRUE	757577	0.214432898020837	0.339214801695198	6196	807	0.578651354094606	10614000	17
20220926 020258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	603	TRUE	757577	0.118346950461157	0.989536955850199	3532	842	0.660651492207948	11896000	18
