echa	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220919 130925	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	395	TRUE	999983	0.030975495248353	0.419066661888566	2911	642	0.025563375432217	25490000	57
20220919 152930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	633	TRUE	999983	0.020542821264202	0.309174418366142	3147	773	0.027813136277628	25476000	119
20220919 152025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	999983	0.034681037738657	0.348282660540053	2721	16	0.022452889896401	25474000	113
20220919 124222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	476	TRUE	999983	0.028414040306072	0.32419431349766	3631	599	0.023484323086896	25464000	40
20220919 130537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	220	TRUE	999983	0.038901244411477	0.665620584801225	5665	255	0.02021640813347	25458000	52
20220919 122208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	316	TRUE	999983	0.01338789117108	0.325674951006316	2876	502	0.026671542522567	25456000	32
20220919 152533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	999983	0.019262319229605	0.285024720181017	2633	196	0.021785376149127	25450000	117
20220919 144051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	459	TRUE	999983	0.022946635304006	0.393994078923293	2335	559	0.026636955747715	25442000	93
20220919 153110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	692	TRUE	999983	0.014941664143198	0.342312280794817	3338	932	0.0227555646566	25422000	120
20220919 134044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	188	TRUE	999983	0.036991339791638	0.478477051848108	3407	922	0.02136599121589	25418000	67
20220919 121413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	547	TRUE	999983	0.021667788275551	0.3788512478992	3933	515	0.025668937311647	25402000	29
20220919 152226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	233	TRUE	999983	0.035381165149975	0.389784982289857	4165	212	0.023632585909644	25388000	115
20220919 142637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1488	TRUE	999983	0.00500583516667	0.234620510445935	2098	55	0.021249690351176	25382000	84
20220919 140748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	999983	0.017791201694044	0.301866049298021	3905	68	0.018229381398856	25376000	77
20220919 133959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2337	TRUE	999983	0.005073681630574	0.599710203069445	3383	350	0.020393215557132	25342000	66
20220919 113745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	385	TRUE	999983	0.025232642182556	0.588588036043802	6516	249	0.019377735862508	25326000	10
20220919 131050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	429	TRUE	999983	0.01217804344771	0.404990784894394	3148	828	0.026372742736139	25322000	58
20220919 143342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	999983	0.035067993142908	0.200138978901382	3264	16	0.021534079027545	25322000	87
20220919 152146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	670	TRUE	999983	0.015571381961546	0.200061997846738	4182	82	0.02129488557221	25288000	114
20220919 133506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1070	TRUE	999983	0.005114850253579	0.489775331358615	3634	148	0.028156817408912	25272000	65
20220919 134152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	467	TRUE	999983	0.011034686308099	0.672593589846061	4549	26	0.024038517098174	25258000	68
20220919 151601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1294	TRUE	999983	0.005099748486189	0.392428257319676	2088	458	0.019883878368204	25258000	108
20220919 124117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	495	TRUE	999983	0.011889532118659	0.317868882480878	3643	658	0.028233334274254	25256000	39
20220919 114404	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	999983	0.035444513167895	0.692786408291431	5841	807	0.02539937324691	25250000	13
20220919 124439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	219	TRUE	999983	0.029704445543827	0.48076271549208	3218	84	0.026347335677734	25248000	43
20220919 115839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182	TRUE	999983	0.027768053625093	0.563616149108528	2141	661	0.028048597639341	25230000	23
20220919 144308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	389	TRUE	999983	0.032663554164825	0.200605512744726	3175	846	0.025674277523962	25170000	95
20220919 130729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	237	TRUE	999983	0.033152368588619	0.562459631885263	5443	703	0.019471251488578	25162000	55
20220919 113122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	354	TRUE	999983	0.040319146085822	0.623266068438534	4046	70	0.030715062750387	25150000	3
20220919 144759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	999983	0.023193700289788	0.620749679594202	3305	247	0.023994332634837	25134000	98
20220919 151651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	336	TRUE	999983	0.045784317733245	0.396287472557204	3507	767	0.026226931057802	25118000	109
